"Obs","Name","Type","numobs","nmiss","per_miss","unique","mean_or_top1","min_or_top2","p1_or_top3","p5_or_top4","p25_or_top5","median_or_bot5","p75_or_bot4","p95_or_bot3","p99_or_bot2","max_or_bot1"
364,"SCRS060","integer",895720,0,"0%",43,"0.403248783101862","0","0","0","0","0","0","3","6","65"
365,"SCRS061","integer",895720,663074,"74%",151,"27.1385581527299","0","0","0","5","22","44","73","80","267"
366,"SCRS062","integer",895720,699788,"78%",157,"29.2349998979238","0","0","0","7","24","48","73","81","267"
367,"SCRS063","integer",895720,0,"0%",4616,"125.364256687358","0","0","0","0","0","0","0","0","7413222"
368,"SCRS064","integer",895720,0,"0%",16517,"527.575713392578","0","0","0","0","0","0","2495","10049.8099999999","6891222"
369,"SCRS065","integer",895720,0,"0%",50,"0.0514591613450632","0","0","0","0","0","0","0","1","124"
370,"SCRS066","integer",895720,0,"0%",29,"0.0986290358594204","0","0","0","0","0","0","1","2","61"
371,"S078_IMPLIED","integer",895720,772565,"86%",1276,"185.422922333645","0","0","0","0","0","311","817","987","5689"
372,"S079_IMPLIED","integer",895720,439010,"49%",1627,"150.700630597097","0","0","0","0","12","171","804","1009","9999"
373,"SCRS114","integer",895720,0,"0%",37,"0.550477827892645","0","0","0","0","0","1","3","6","42"
374,"SCRS115","integer",895720,0,"0%",33,"0.487318581699638","0","0","0","0","0","1","3","5","38"
375,"MVR_SCORE","integer",895720,0,"0%",625,"635.230326441299","99","302","388","549","645","747","811","855","892"
376,"INQ001","integer",895720,0,"0%",17,"0.00929419908006966","0","0","0","0","0","0","0","0","18"
377,"INQ002","integer",895720,0,"0%",22,"0.0425010047782789","0","0","0","0","0","0","0","1","22"
378,"INQ003","integer",895720,0,"0%",25,"0.0681663912829902","0","0","0","0","0","0","0","2","27"
379,"INQ004","integer",895720,0,"0%",27,"0.106413834680481","0","0","0","0","0","0","1","2","32"
380,"INQ006","integer",895720,0,"0%",32,"0.179086098334301","0","0","0","0","0","0","1","3","35"
381,"INQ009","integer",895720,0,"0%",37,"0.291902603492163","0","0","0","0","0","0","2","5","59"
382,"INQ012","integer",895720,0,"0%",39,"0.413053186263565","0","0","0","0","0","0","2","6","80"
383,"INQ015","integer",895720,0,"0%",41,"0.519675791542","0","0","0","0","0","0","3","7","80"
384,"INQ018","integer",895720,0,"0%",45,"0.626279417675166","0","0","0","0","0","1","3","8","80"
385,"INQ021","integer",895720,0,"0%",45,"0.744721564774706","0","0","0","0","0","1","4","8","80"
386,"INQ024","integer",895720,0,"0%",53,"0.863900549278792","0","0","0","0","0","1","4","9","80"
387,"OPN_STUD","integer",895720,744486,"83%",48,"3.10718489228613","1","1","1","1","2","4","10","16","57"
388,"STUD_DEF","integer",895720,744486,"83%",30,"0.0923800203657908","0","0","0","0","0","0","0","2","34"
389,"STUAGBAL","integer",895720,744486,"83%",70945,"37644.0336564529","1","476","1888.65","8225","20500","47708.75","131596.1","239119.37","1045399"
390,"STNULEND","integer",895720,744486,"83%",12,"1.38374968591719","1","1","1","1","1","2","3","4","11"
391,"TUIRS_AUTO_INS05_SCORE","integer",895720,132,"0%",459,"871.587517921187","161","726","788","850","880","903","928","950","950"
392,"TRANSRISK_NEW_ACCOUNTS_SCORE","integer",895720,463,"0%",596,"754.233822243222","305","464","533","687","784","838","893","918","934"
393,"BC33","integer",895720,0,"0%",52091,"6522.06099785647","0","0","0","286","2535","7838","26915.0499999999","51436.6199999999","2834175"
394,"AUTO_INQ_DTE","character",895720,465086,"52%",5578,"::465086","2016-02-22::456","2016-02-03::438","2016-02-16::434","2015-09-10::433","2001-04-29::1","2002-05-26::1","2001-06-17::1","2001-05-13::1","2003-07-04::1"
395,"PROP_INQ_DTE","character",895720,681783,"76%",5332,"::681783","2015-11-18::2330","2016-02-18::1393","2015-11-20::1151","2015-11-19::982","2010-11-25::1","2007-12-23::1","2003-04-13::1","2004-11-28::1","2004-12-25::1"
396,"UNKN_INQ_DTE","character",895720,451692,"50%",5447,"::451692","2000-12-01::1595","2001-06-01::1540","2001-07-01::1418","2001-04-01::1325","2005-03-20::1","2003-11-01::1","2003-05-26::1","2004-05-02::1","2005-09-18::1"
397,"ACCOUNT_HMOWNER_FLAG","character",895720,0,"0%",2,"Y::647578","N::248142","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
398,"HEN001","integer",895720,0,"0%",10,"0.149371455365516","0","0","0","0","0","0","1","1","14"
