"Obs","Name","Type","numobs","nmiss","per_miss","unique","mean_or_top1","min_or_top2","p1_or_top3","p5_or_top4","p25_or_top5","median_or_bot5","p75_or_bot4","p95_or_bot3","p99_or_bot2","max_or_bot1"
438,"BANKCARD_USAGE_PROPENSITY","integer",895720,0,"0%",916,"530.447419952664","0","286","367","472","534","593","677","739","999"
439,"MORTGAGE_INQUIRY_PROPENSITY","integer",895720,0,"0%",786,"399.100229982584","41","125","177","322","400","507","564","607","999"
440,"BANKCARD_INQUIRY_PROPENSITY","integer",895720,0,"0%",931,"340.504345107846","54","77","99","183","368","451","581","703","999"
441,"SUB_PRIME_BANKCARD_PROPENSITY","integer",895720,0,"0%",972,"283.576176707007","0","82","119","184","257","365","526","635","999"
442,"HOME_EQUITY_PROPENSITY","integer",895720,0,"0%",970,"366.132764703255","0","176","237","296","355","423","537","635","999"
443,"SBAU28","integer",895720,0,"0%",635,"447.562286205511","227","227","227","304","448","574","704","786","912"
444,"CINS99","integer",895720,0,"0%",657,"368.911899924083","156","156","202","259","361","443","631","743","950"
445,"TUIRS_PROPERTY","integer",895720,1,"0%",627,"857.822420870831","218","572","685","819","881","920","950","950","950"
446,"TUIRS_AUTO_PROPERTY","integer",895720,1,"0%",507,"878.967820265061","332","698","773","853","891","919","950","950","950"
447,"TU_LIFE_PERSISTENCY","integer",895720,0,"0%",745,"645.423670343411","44","266","392","595","680","731","779","799","836"
448,"RE30_IMPLIED","integer",895720,54581,"6%",379,"235.475162844667","0","0","0","0","0","400","1000","1000","1000"
449,"RE31_IMPLIED","integer",895720,54581,"6%",349,"158.959042441261","0","0","0","0","0","250","857","1000","1000"
450,"G010","integer",895720,0,"0%",33,"0.333176662349841","0","0","0","0","0","0","2","6","54"
451,"G960","integer",895720,0,"0%",82,"2.26257759121154","0","0","0","0","1","3","8","15","106"
452,"IHI01","integer",895720,0,"0%",13,"0.286224489795918","0","0","0","0","0","0","2","3","16"
453,"FINSCR","integer",895720,0,"0%",544,"710.10425021212","0","384","470","653","748","797","826","837","845"
